,gender,race,race_o,field,met,match,d_d_age,d_importance_same_race,d_importance_same_religion,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,d_interests_correlate,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,d_like,d_guess_prob_liked
4885,female,black/african american,european/caucasian-american,instructional media and technology,0.0,1,[7-37],[2-5],[2-5],[16-20],[16-20],[16-20],[16-20],[16-20],[16-20],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[0-15],[0-15],[0-15],[16-20],[16-20],[0-15],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[9-10],[9-10],[9-10],[6-8],[-1-0],[7-10],[0-3],[3-5],[6-8],[7-10]
4917,female,asian/pacific islander/asian-american,european/caucasian-american,ma in quantitative methods,0.0,1,[0-1],[2-5],[2-5],[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[0-15],[21-100],[0-15],[16-20],[0-15],[0-15],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[0-5],[6-8],[0-5],[9-10],[0-5],[0-5],[0-0.33],[7-10],[0-3],[0-2],[9-10],[7-10]
4935,male,asian/pacific islander/asian-american,asian/pacific islander/asian-american,anthropology,0.0,1,[4-6],[0-1],[0-1],[0-15],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[0-5],[9-10],[6-8],[6-8],[9-10],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[9-10],[9-10],[6-8],[0-5],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[0-5],[0-0.33],[7-10],[0-3],[3-5],[6-8],[7-10]
4936,male,asian/pacific islander/asian-american,european/caucasian-american,anthropology,0.0,1,[7-37],[0-1],[0-1],[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],[0-5],[9-10],[9-10],[6-8],[0-5],[0-5],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[0-5],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[6-8],[0-5],[9-10],[9-10],[6-8],[0-5],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[0-5],[0-0.33],[7-10],[0-3],[3-5],[9-10],[7-10]
4945,male,european/caucasian-american,asian/pacific islander/asian-american,mba,0.0,1,[2-3],[2-5],[2-5],[0-15],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],[9-10],[6-8],[0-5],[0-5],[9-10],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[-1-0],[7-10],[0-3],[0-2],[6-8],[5-6]
4952,male,european/caucasian-american,asian/pacific islander/asian-american,mba,0.0,1,[0-1],[2-5],[2-5],[0-15],[21-100],[0-15],[16-20],[0-15],[0-15],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[9-10],[6-8],[0-5],[0-5],[9-10],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-0.33],[7-10],[0-3],[0-2],[9-10],[7-10]
4976,male,latino/hispanic american,european/caucasian-american,architecture,0.0,1,[2-3],[0-1],[2-5],[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[6-8],[0-5],[16-20],[0-15],[21-100],[0-15],[0-15],[0-15],[0-5],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[9-10],[9-10],[0-5],[0-5],[0-0.33],[0-4],[0-3],[0-2],[6-8],[0-4]
4987,male,european/caucasian-american,latino/hispanic american,urban planning,0.0,1,[2-3],[0-1],[0-1],[0-15],[16-20],[16-20],[0-15],[0-15],[21-100],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0.33-1],[5-6],[0-3],[3-5],[9-10],[5-6]
4988,male,european/caucasian-american,black/african american,urban planning,0.0,1,[7-37],[0-1],[0-1],[0-15],[0-15],[0-15],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[-1-0],[5-6],[0-3],[3-5],[6-8],[5-6]
4997,male,other,latino/hispanic american,urban planning,0.0,1,[2-3],[0-1],[0-1],[0-15],[16-20],[16-20],[0-15],[0-15],[21-100],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[0-15],[16-20],[21-100],[16-20],[16-20],[0-15],[6-8],[9-10],[6-8],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[9-10],[9-10],[6-8],[6-8],[0-5],[9-10],[0.33-1],[0-4],[0-3],[3-5],[6-8],[5-6]
5029,female,asian/pacific islander/asian-american,european/caucasian-american,political science,0.0,1,[4-6],[2-5],[6-10],[0-15],[16-20],[16-20],[16-20],[0-15],[16-20],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],[9-10],[9-10],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0.33-1],[5-6],[0-3],[5-18],[6-8],[7-10]
5031,female,asian/pacific islander/asian-american,other,political science,0.0,1,[0-1],[2-5],[6-10],[16-20],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[6-8],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0.33-1],[5-6],[0-3],[5-18],[6-8],[5-6]
5034,female,asian/pacific islander/asian-american,european/caucasian-american,political science,0.0,1,[4-6],[2-5],[6-10],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[-1-0],[5-6],[0-3],[5-18],[0-5],[0-4]
5060,female,european/caucasian-american,european/caucasian-american,epidemiology,0.0,1,[2-3],[2-5],[6-10],[21-100],[16-20],[21-100],[0-15],[0-15],[0-15],[9-10],[9-10],[9-10],[6-8],[9-10],[6-8],[0-15],[21-100],[16-20],[0-15],[0-15],[21-100],[0-5],[6-8],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0.33-1],[5-6],[0-3],[0-2],[0-5],[7-10]
5061,female,european/caucasian-american,european/caucasian-american,epidemiology,0.0,1,[2-3],[2-5],[6-10],[21-100],[0-15],[21-100],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[21-100],[16-20],[0-15],[0-15],[21-100],[0-5],[6-8],[6-8],[9-10],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0.33-1],[5-6],[0-3],[0-2],[0-5],[0-4]
5081,female,latino/hispanic american,latino/hispanic american,international security policy - sipa,0.0,1,[0-1],[0-1],[2-5],[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[0-15],[0-15],[0-15],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[5-18],[6-8],[7-10]
5083,female,latino/hispanic american,european/caucasian-american,international security policy - sipa,0.0,1,[0-1],[0-1],[2-5],[0-15],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[0-15],[0-15],[0-15],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0.33-1],[5-6],[0-3],[5-18],[6-8],[7-10]
5086,female,latino/hispanic american,european/caucasian-american,international security policy - sipa,0.0,1,[0-1],[0-1],[2-5],[16-20],[16-20],[21-100],[21-100],[0-15],[0-15],[9-10],[6-8],[9-10],[9-10],[9-10],[6-8],[0-15],[0-15],[0-15],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[5-18],[6-8],[7-10]
5094,female,latino/hispanic american,asian/pacific islander/asian-american,international security policy - sipa,0.0,1,[0-1],[0-1],[2-5],[21-100],[16-20],[0-15],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-15],[0-15],[0-15],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-0.33],[5-6],[0-3],[5-18],[6-8],[7-10]
5099,female,european/caucasian-american,latino/hispanic american,nutrition,0.0,1,[2-3],[6-10],[6-10],[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-15],[16-20],[21-100],[21-100],[0-15],[0-15],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[0-5],[0-5],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[0-0.33],[5-6],[0-3],[0-2],[6-8],[7-10]
5101,female,european/caucasian-american,european/caucasian-american,nutrition,0.0,1,[2-3],[6-10],[6-10],[0-15],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-15],[16-20],[21-100],[21-100],[0-15],[0-15],[6-8],[9-10],[6-8],[9-10],[6-8],[9-10],[9-10],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[0-0.33],[5-6],[0-3],[0-2],[9-10],[5-6]
5103,female,european/caucasian-american,other,nutrition,0.0,1,[0-1],[6-10],[6-10],[16-20],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[16-20],[21-100],[21-100],[0-15],[0-15],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[0-0.33],[5-6],[0-3],[0-2],[6-8],[5-6]
5104,female,european/caucasian-american,european/caucasian-american,nutrition,0.0,1,[0-1],[6-10],[6-10],[16-20],[16-20],[21-100],[21-100],[0-15],[0-15],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[0-15],[16-20],[21-100],[21-100],[0-15],[0-15],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[0-0.33],[5-6],[0-3],[0-2],[6-8],[7-10]
5152,female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,education,0.0,1,[2-3],[2-5],[2-5],[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-15],[21-100],[0-15],[0-15],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[0-0.33],[5-6],[0-3],[3-5],[6-8],[5-6]
5169,female,european/caucasian-american,european/caucasian-american,organizational psychology,0.0,1,[2-3],[0-1],[6-10],[21-100],[0-15],[21-100],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[21-100],[16-20],[0-15],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-0.33],[5-6],[0-3],[3-5],[6-8],[7-10]
5174,female,european/caucasian-american,european/caucasian-american,organizational psychology,0.0,1,[4-6],[0-1],[6-10],[21-100],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[21-100],[16-20],[0-15],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-0.33],[5-6],[0-3],[3-5],[6-8],[7-10]
5175,female,european/caucasian-american,other,organizational psychology,0.0,1,[7-37],[0-1],[6-10],[16-20],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[21-100],[16-20],[0-15],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-0.33],[5-6],[0-3],[3-5],[6-8],[7-10]
5191,female,european/caucasian-american,european/caucasian-american,applied physiology & nutrition,0.0,1,[4-6],[6-10],[2-5],[0-15],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[21-100],[21-100],[0-15],[0-15],[0-15],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[6-8],[0-0.33],[5-6],[0-3],[0-2],[6-8],[5-6]
5193,female,european/caucasian-american,other,applied physiology & nutrition,0.0,1,[7-37],[6-10],[2-5],[16-20],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[21-100],[21-100],[0-15],[0-15],[0-15],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[6-8],[0-0.33],[5-6],[0-3],[0-2],[6-8],[7-10]
5198,female,european/caucasian-american,latino/hispanic american,applied physiology & nutrition,0.0,1,[2-3],[6-10],[2-5],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-15],[21-100],[21-100],[0-15],[0-15],[0-15],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[0-5],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[6-8],[-1-0],[5-6],[0-3],[0-2],[6-8],[5-6]
5224,female,other,asian/pacific islander/asian-american,music education,0.0,1,[4-6],[6-10],[6-10],[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-0.33],[7-10],[0-3],[3-5],[6-8],[7-10]
5225,female,other,latino/hispanic american,music education,0.0,1,[2-3],[6-10],[6-10],[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-0.33],[7-10],[0-3],[3-5],[9-10],[7-10]
5230,female,other,european/caucasian-american,music education,0.0,1,[4-6],[6-10],[6-10],[16-20],[16-20],[21-100],[21-100],[0-15],[0-15],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-0.33],[7-10],[0-3],[3-5],[6-8],[7-10]
5259,female,european/caucasian-american,european/caucasian-american,clinical psychology,0.0,1,[7-37],[6-10],[6-10],[21-100],[0-15],[21-100],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[0-15],[16-20],[16-20],[16-20],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[-1-0],[7-10],[0-3],[5-18],[6-8],[7-10]
5262,female,european/caucasian-american,european/caucasian-american,clinical psychology,0.0,1,[7-37],[6-10],[6-10],[21-100],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[0-15],[16-20],[16-20],[16-20],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[-1-0],[7-10],[0-3],[5-18],[9-10],[7-10]
5263,female,european/caucasian-american,european/caucasian-american,clinical psychology,0.0,1,[4-6],[6-10],[6-10],[0-15],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[16-20],[0-15],[16-20],[16-20],[16-20],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[-1-0],[7-10],[0-3],[5-18],[9-10],[7-10]
5265,female,european/caucasian-american,other,clinical psychology,0.0,1,[2-3],[6-10],[6-10],[16-20],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[16-20],[0-15],[16-20],[16-20],[16-20],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[0-0.33],[7-10],[0-3],[5-18],[9-10],[7-10]
5266,female,european/caucasian-american,european/caucasian-american,clinical psychology,0.0,1,[2-3],[6-10],[6-10],[16-20],[16-20],[21-100],[21-100],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[16-20],[0-15],[16-20],[16-20],[16-20],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[9-10],[6-8],[9-10],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[0-0.33],[7-10],[0-3],[5-18],[6-8],[7-10]
5268,female,european/caucasian-american,european/caucasian-american,clinical psychology,0.0,1,[4-6],[6-10],[6-10],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[16-20],[0-15],[16-20],[16-20],[16-20],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[0.33-1],[7-10],[0-3],[5-18],[9-10],[7-10]
5269,female,european/caucasian-american,european/caucasian-american,clinical psychology,0.0,1,[4-6],[6-10],[6-10],[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[0-15],[16-20],[16-20],[16-20],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[0.33-1],[7-10],[0-3],[5-18],[6-8],[5-6]
5281,female,european/caucasian-american,european/caucasian-american,clinical psychology,0.0,1,[2-3],[6-10],[2-5],[0-15],[16-20],[16-20],[16-20],[0-15],[16-20],[9-10],[6-8],[9-10],[9-10],[9-10],[6-8],[21-100],[16-20],[0-15],[0-15],[0-15],[0-15],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0.33-1],[7-10],[0-3],[0-2],[9-10],[7-10]
5325,female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,education,0.0,1,[2-3],[6-10],[6-10],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[-1-0],[0-4],[0-3],[0-2],[6-8],[7-10]
5327,female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,education,0.0,1,[2-3],[6-10],[6-10],[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[0-2],[6-8],[0-4]
