,gender,age,age_o,d_age,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_matches,guess_prob_liked,met,match
582,male,24.0,21.0,"(2.0, 4.0]",european/caucasian-american,asian/pacific islander/asian-american,0,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(-0.001, 10.0]","(18.92, 20.0]","(25.0, 50.0]","(-0.001, 15.0]","(5.0, 10.0]","(5.0, 10.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(5.0, 6.0]","(7.0, 10.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(6.0, 7.0]","(7.0, 10.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(-0.831, -0.07]","(6.0, 7.0]","(2.0, 3.0]","(7.0, 10.0]",1.0,1
584,male,24.0,25.0,"(-0.001, 1.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(18.0, 20.0]","(18.92, 20.0]","(-0.001, 17.31]","(-0.001, 15.0]","(11.066, 15.0]","(14.0, 17.09]","(5.0, 6.0]","(6.0, 7.0]","(8.0, 9.0]","(6.0, 7.0]","(8.0, 10.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(6.0, 7.0]","(-0.001, 6.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(-0.001, 4.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(-0.831, -0.07]","(6.0, 7.0]","(2.0, 3.0]","(5.0, 6.0]",0.0,0
585,male,24.0,23.0,"(-0.001, 1.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(18.0, 20.0]","(18.92, 20.0]","(17.31, 20.0]","(-0.001, 15.0]","(11.066, 15.0]","(5.0, 10.0]","(-0.001, 4.0]","(7.0, 8.0]","(6.0, 7.0]","(5.0, 6.0]","(5.0, 6.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(7.0, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(7.0, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(0.31, 0.47]","(6.0, 7.0]","(2.0, 3.0]","(6.0, 7.0]",0.0,0
586,male,24.0,22.0,"(1.0, 2.0]",european/caucasian-american,latino/hispanic american,0,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(15.0, 18.0]","(-0.001, 15.0]","(17.31, 20.0]","(18.0, 20.0]","(15.0, 53.0]","(5.0, 10.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(8.0, 10.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(4.0, 5.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(0.31, 0.47]","(6.0, 7.0]","(2.0, 3.0]","(5.0, 6.0]",0.0,0
588,male,24.0,22.0,"(1.0, 2.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(18.0, 20.0]","(20.0, 47.0]","(17.31, 20.0]","(-0.001, 15.0]","(11.066, 15.0]","(5.0, 10.0]","(7.0, 8.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(6.0, 7.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(6.0, 7.0]","(-0.001, 6.0]","(6.0, 7.0]","(5.0, 6.0]","(6.0, 7.0]","(4.0, 5.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(-0.831, -0.07]","(6.0, 7.0]","(2.0, 3.0]","(3.0, 5.0]",0.0,1
589,male,24.0,23.0,"(-0.001, 1.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(-0.001, 10.0]","(18.92, 20.0]","(17.31, 20.0]","(18.0, 20.0]","(15.0, 53.0]","(5.0, 10.0]","(5.0, 6.0]","(8.0, 9.0]","(6.0, 7.0]","(-0.001, 5.0]","(5.0, 6.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(6.0, 7.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(-0.831, -0.07]","(6.0, 7.0]","(2.0, 3.0]","(6.0, 7.0]",0.0,0
590,male,24.0,24.0,"(-0.001, 1.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(25.0, 35.0]","(-0.001, 15.0]","(17.31, 20.0]","(18.0, 20.0]","(5.0, 10.0]","(-0.001, 5.0]","(-0.001, 4.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(7.0, 8.0]","(4.0, 5.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(8.0, 10.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(-0.07, 0.13]","(6.0, 7.0]","(2.0, 3.0]","(6.0, 7.0]",0.0,0
591,male,24.0,27.0,"(2.0, 4.0]",european/caucasian-american,asian/pacific islander/asian-american,0,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(35.0, 100.0]","(-0.001, 15.0]","(25.0, 50.0]","(-0.001, 15.0]","(-0.001, 5.0]","(-0.001, 5.0]","(4.0, 5.0]","(6.0, 7.0]","(8.0, 9.0]","(-0.001, 5.0]","(-0.001, 5.0]","(5.0, 6.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(6.0, 7.0]","(-0.001, 6.0]","(-0.001, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(7.0, 10.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(-0.831, -0.07]","(6.0, 7.0]","(2.0, 3.0]","(7.0, 10.0]",0.0,0
592,male,24.0,30.0,"(4.0, 6.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(25.0, 35.0]","(18.92, 20.0]","(25.0, 50.0]","(-0.001, 15.0]","(-0.001, 5.0]","(5.0, 10.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(6.0, 7.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(5.0, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(5.0, 6.0]","(7.0, 10.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(-0.831, -0.07]","(6.0, 7.0]","(2.0, 3.0]","(5.0, 6.0]",0.0,0
593,male,24.0,21.0,"(2.0, 4.0]",european/caucasian-american,asian/pacific islander/asian-american,0,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(25.0, 35.0]","(-0.001, 15.0]","(25.0, 50.0]","(-0.001, 15.0]","(11.066, 15.0]","(-0.001, 5.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(7.0, 8.0]","(6.0, 7.0]","(7.0, 8.0]","(6.0, 7.0]","(5.0, 6.0]","(5.0, 6.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(-0.831, -0.07]","(6.0, 7.0]","(2.0, 3.0]","(7.0, 10.0]",0.0,0
595,male,24.0,26.0,"(1.0, 2.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(18.0, 20.0]","(20.0, 47.0]","(17.31, 20.0]","(-0.001, 15.0]","(11.066, 15.0]","(-0.001, 5.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 5.0]","(5.0, 6.0]","(6.0, 7.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(0.47, 0.91]","(6.0, 7.0]","(2.0, 3.0]","(7.0, 10.0]",0.0,0
596,male,24.0,27.0,"(2.0, 4.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(-0.001, 10.0]","(-0.001, 15.0]","(25.0, 50.0]","(20.0, 50.0]","(5.0, 10.0]","(14.0, 17.09]","(6.0, 7.0]","(-0.001, 6.0]","(7.0, 8.0]","(5.0, 6.0]","(8.0, 10.0]","(5.0, 6.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(6.0, 7.0]","(4.0, 5.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(0.13, 0.31]","(6.0, 7.0]","(2.0, 3.0]","(3.0, 5.0]",0.0,1
597,male,24.0,23.0,"(-0.001, 1.0]",european/caucasian-american,black/african american,0,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(35.0, 100.0]","(-0.001, 15.0]","(17.31, 20.0]","(-0.001, 15.0]","(5.0, 10.0]","(-0.001, 5.0]","(4.0, 5.0]","(9.0, 10.0]","(6.0, 7.0]","(-0.001, 5.0]","(-0.001, 5.0]","(6.0, 7.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(6.0, 7.0]","(-0.001, 6.0]","(-0.001, 6.0]","(6.0, 7.0]","(5.0, 6.0]","(4.0, 5.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(-0.831, -0.07]","(6.0, 7.0]","(2.0, 3.0]","(5.0, 6.0]",0.0,0
598,male,24.0,24.0,"(-0.001, 1.0]",european/caucasian-american,latino/hispanic american,0,"(2.0, 4.0]","(0.999, 3.0]",psychology,"(18.0, 20.0]","(18.92, 20.0]","(17.31, 20.0]","(-0.001, 15.0]","(11.066, 15.0]","(5.0, 10.0]","(-0.001, 4.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(11.36, 15.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 9.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(0.999, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(5.0, 6.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(7.0, 8.0]","(0.999, 7.0]","(5.0, 7.0]","(7.0, 10.0]","(-0.07, 0.13]","(6.0, 7.0]","(2.0, 3.0]","(3.0, 5.0]",0.0,0
599,male,28.0,21.0,"(6.0, 32.0]",european/caucasian-american,asian/pacific islander/asian-american,0,"(4.0, 7.0]","(3.0, 10.0]",finance,"(10.0, 15.0]","(15.0, 18.92]","(17.31, 20.0]","(15.0, 18.0]","(15.0, 53.0]","(17.09, 30.0]","(5.0, 6.0]","(7.0, 8.0]","(7.0, 8.0]","(5.0, 6.0]","(7.0, 8.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(-0.001, 5.0]","(17.0, 30.0]","(6.0, 7.0]","(1.999, 8.0]","(1.999, 6.0]","(2.999, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 7.0]","(8.0, 10.0]","(5.0, 6.0]","(8.0, 9.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(7.0, 8.0]","(4.0, 6.0]","(5.0, 7.0]","(6.0, 14.0]","(5.0, 7.0]","(0.999, 7.0]","(6.0, 8.0]","(5.0, 7.0]","(1.999, 7.0]","(5.0, 7.0]","(0.999, 7.0]","(5.0, 7.0]","(2.0, 3.0]","(-0.07, 0.13]","(6.0, 7.0]","(5.0, 18.0]","(6.0, 7.0]",0.0,0
600,male,28.0,27.0,"(-0.001, 1.0]",european/caucasian-american,black/african american,0,"(4.0, 7.0]","(3.0, 10.0]",finance,"(18.0, 20.0]","(18.92, 20.0]","(17.31, 20.0]","(-0.001, 15.0]","(5.0, 10.0]","(17.09, 30.0]","(5.0, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 5.0]","(5.0, 6.0]","(5.0, 6.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(-0.001, 5.0]","(17.0, 30.0]","(6.0, 7.0]","(1.999, 8.0]","(1.999, 6.0]","(2.999, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 5.0]","(5.0, 6.0]","(4.0, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(7.0, 8.0]","(4.0, 6.0]","(5.0, 7.0]","(6.0, 14.0]","(5.0, 7.0]","(0.999, 7.0]","(6.0, 8.0]","(5.0, 7.0]","(1.999, 7.0]","(5.0, 7.0]","(0.999, 7.0]","(5.0, 7.0]","(2.0, 3.0]","(-0.07, 0.13]","(6.0, 7.0]","(5.0, 18.0]","(3.0, 5.0]",0.0,1
601,male,28.0,21.0,"(6.0, 32.0]",european/caucasian-american,asian/pacific islander/asian-american,0,"(4.0, 7.0]","(3.0, 10.0]",finance,"(-0.001, 10.0]","(18.92, 20.0]","(25.0, 50.0]","(-0.001, 15.0]","(5.0, 10.0]","(5.0, 10.0]","(5.0, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(6.0, 7.0]","(4.0, 5.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(-0.001, 5.0]","(17.0, 30.0]","(6.0, 7.0]","(1.999, 8.0]","(1.999, 6.0]","(2.999, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(7.0, 8.0]","(6.0, 7.0]","(5.0, 6.0]","(5.0, 6.0]","(5.0, 6.0]","(8.0, 9.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(7.0, 8.0]","(4.0, 6.0]","(5.0, 7.0]","(6.0, 14.0]","(5.0, 7.0]","(0.999, 7.0]","(6.0, 8.0]","(5.0, 7.0]","(1.999, 7.0]","(5.0, 7.0]","(0.999, 7.0]","(5.0, 7.0]","(2.0, 3.0]","(-0.831, -0.07]","(6.0, 7.0]","(5.0, 18.0]","(6.0, 7.0]",0.0,1
603,male,28.0,25.0,"(2.0, 4.0]",european/caucasian-american,european/caucasian-american,1,"(4.0, 7.0]","(3.0, 10.0]",finance,"(18.0, 20.0]","(18.92, 20.0]","(-0.001, 17.31]","(-0.001, 15.0]","(11.066, 15.0]","(14.0, 17.09]","(5.0, 6.0]","(7.0, 8.0]","(6.0, 7.0]","(-0.001, 5.0]","(7.0, 8.0]","(6.0, 7.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(-0.001, 5.0]","(17.0, 30.0]","(6.0, 7.0]","(1.999, 8.0]","(1.999, 6.0]","(2.999, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 6.0]","(-0.001, 6.0]","(6.0, 7.0]","(5.0, 6.0]","(5.0, 6.0]","(8.0, 9.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(7.0, 8.0]","(4.0, 6.0]","(5.0, 7.0]","(6.0, 14.0]","(5.0, 7.0]","(0.999, 7.0]","(6.0, 8.0]","(5.0, 7.0]","(1.999, 7.0]","(5.0, 7.0]","(0.999, 7.0]","(5.0, 7.0]","(2.0, 3.0]","(-0.07, 0.13]","(6.0, 7.0]","(5.0, 18.0]","(6.0, 7.0]",0.0,0
604,male,28.0,23.0,"(4.0, 6.0]",european/caucasian-american,european/caucasian-american,1,"(4.0, 7.0]","(3.0, 10.0]",finance,"(18.0, 20.0]","(18.92, 20.0]","(17.31, 20.0]","(-0.001, 15.0]","(11.066, 15.0]","(5.0, 10.0]","(-0.001, 4.0]","(6.0, 7.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(-0.001, 5.0]","(17.0, 30.0]","(6.0, 7.0]","(1.999, 8.0]","(1.999, 6.0]","(2.999, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 6.0]","(7.0, 8.0]","(6.0, 7.0]","(5.0, 6.0]","(6.0, 7.0]","(8.0, 9.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(7.0, 8.0]","(4.0, 6.0]","(5.0, 7.0]","(6.0, 14.0]","(5.0, 7.0]","(0.999, 7.0]","(6.0, 8.0]","(5.0, 7.0]","(1.999, 7.0]","(5.0, 7.0]","(0.999, 7.0]","(5.0, 7.0]","(2.0, 3.0]","(-0.07, 0.13]","(6.0, 7.0]","(5.0, 18.0]","(6.0, 7.0]",0.0,0
605,male,28.0,22.0,"(4.0, 6.0]",european/caucasian-american,latino/hispanic american,0,"(4.0, 7.0]","(3.0, 10.0]",finance,"(15.0, 18.0]","(-0.001, 15.0]","(17.31, 20.0]","(18.0, 20.0]","(15.0, 53.0]","(5.0, 10.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(-0.001, 5.0]","(17.0, 30.0]","(6.0, 7.0]","(1.999, 8.0]","(1.999, 6.0]","(2.999, 8.0]","(6.0, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 7.0]","(7.0, 8.0]","(5.0, 6.0]","(6.0, 7.0]","(8.0, 9.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(7.0, 8.0]","(4.0, 6.0]","(5.0, 7.0]","(6.0, 14.0]","(5.0, 7.0]","(0.999, 7.0]","(6.0, 8.0]","(5.0, 7.0]","(1.999, 7.0]","(5.0, 7.0]","(0.999, 7.0]","(5.0, 7.0]","(2.0, 3.0]","(-0.831, -0.07]","(6.0, 7.0]","(5.0, 18.0]","(6.0, 7.0]",0.0,0
607,male,28.0,22.0,"(4.0, 6.0]",european/caucasian-american,european/caucasian-american,1,"(4.0, 7.0]","(3.0, 10.0]",finance,"(18.0, 20.0]","(20.0, 47.0]","(17.31, 20.0]","(-0.001, 15.0]","(11.066, 15.0]","(5.0, 10.0]","(5.0, 6.0]","(7.0, 8.0]","(6.0, 7.0]","(-0.001, 5.0]","(6.0, 7.0]","(-0.001, 4.0]","(20.0, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(-0.001, 5.0]","(17.0, 30.0]","(6.0, 7.0]","(1.999, 8.0]","(1.999, 6.0]","(2.999, 8.0]","(6.0, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(-0.001, 6.0]","(6.0, 7.0]","(5.0, 6.0]","(5.0, 6.0]","(8.0, 9.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(7.0, 8.0]","(4.0, 6.0]","(5.0, 7.0]","(6.0, 14.0]","(5.0, 7.0]","(0.999, 7.0]","(6.0, 8.0]","(5.0, 7.0]","(1.999, 7.0]","(5.0, 7.0]","(0.999, 7.0]","(5.0, 7.0]","(2.0, 3.0]","(-0.07, 0.13]","(6.0, 7.0]","(5.0, 18.0]","(6.0, 7.0]",0.0,1
