,gender,race,race_o,field,met,match,d_d_age,d_importance_same_race,d_importance_same_religion,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,d_interests_correlate,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,d_like,d_guess_prob_liked
2686,female,other,european/caucasian-american,international affairs and public health,1.0,1,[7-37],[2-5],[0-1],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[6-8],[9-10],[9-10],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[0-5],[6-8],[0-5],[9-10],[6-8],[0-5],[9-10],[6-8],[9-10],[6-8],[0-5],[0-0.33],[0-4],[0-3],[5-18],[9-10],[0-4]
2688,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[0-1],[6-10],[2-5],[16-20],[21-100],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-0.33],[5-6],[0-3],[0-2],[0-5],[0-4]
2689,female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,international affairs,0.0,0,[2-3],[6-10],[2-5],[0-15],[16-20],[21-100],[16-20],[0-15],[0-15],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[0-2],[6-8],[0-4]
2690,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[4-6],[6-10],[2-5],[0-15],[16-20],[16-20],[21-100],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[0-2],[0-5],[0-4]
2691,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[2-3],[6-10],[2-5],[21-100],[16-20],[21-100],[0-15],[0-15],[21-100],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-0.33],[5-6],[0-3],[0-2],[0-5],[0-4]
2692,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[0-1],[6-10],[2-5],[21-100],[0-15],[21-100],[0-15],[16-20],[21-100],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-0.33],[5-6],[0-3],[0-2],[0-5],[0-4]
2693,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[2-3],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[16-20],[16-20],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[0-2],[0-5],[0-4]
2694,female,asian/pacific islander/asian-american,other,international affairs,0.0,0,[2-3],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[0-2],[0-5],[0-4]
2695,female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,international affairs,0.0,0,[4-6],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-0.33],[5-6],[0-3],[0-2],[0-5],[0-4]
2696,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[4-6],[6-10],[2-5],[0-15],[16-20],[21-100],[16-20],[0-15],[21-100],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[0-2],[0-5],[0-4]
2697,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[4-6],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[0-2],[0-5],[0-4]
2698,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[7-37],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[0-2],[0-5],[0-4]
2699,female,asian/pacific islander/asian-american,latino/hispanic american,international affairs,0.0,0,[4-6],[6-10],[2-5],[0-15],[0-15],[0-15],[0-15],[21-100],[21-100],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-0.33],[5-6],[0-3],[0-2],[0-5],[0-4]
2700,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[0-1],[6-10],[2-5],[21-100],[16-20],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[0-2],[6-8],[0-4]
2701,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,1.0,0,[2-3],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[0-2],[6-8],[0-4]
2702,female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,international affairs,0.0,0,[0-1],[6-10],[2-5],[0-15],[16-20],[21-100],[0-15],[0-15],[16-20],[6-8],[9-10],[6-8],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-0.33],[5-6],[0-3],[0-2],[6-8],[5-6]
2703,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[4-6],[6-10],[2-5],[21-100],[16-20],[21-100],[16-20],[0-15],[0-15],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[0-2],[6-8],[0-4]
2704,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[7-37],[6-10],[2-5],[21-100],[21-100],[21-100],[21-100],[0-15],[0-15],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0.33-1],[5-6],[0-3],[0-2],[0-5],[5-6]
2705,female,asian/pacific islander/asian-american,latino/hispanic american,international affairs,0.0,0,[7-37],[6-10],[2-5],[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],[0-5],[6-8],[0-5],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-0.33],[5-6],[0-3],[0-2],[0-5],[0-4]
2706,female,asian/pacific islander/asian-american,european/caucasian-american,international affairs,0.0,0,[7-37],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-0.33],[5-6],[0-3],[0-2],[0-5],[0-4]
2749,female,european/caucasian-american,asian/pacific islander/asian-american,qmss,0.0,0,[0-1],[6-10],[6-10],[0-15],[16-20],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[16-20],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0.33-1],[0-4],[0-3],[0-2],[6-8],[5-6]
2754,female,european/caucasian-american,other,qmss,0.0,0,[0-1],[6-10],[6-10],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[16-20],[16-20],[16-20],[16-20],[16-20],[16-20],[6-8],[6-8],[9-10],[9-10],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-0.33],[0-4],[0-3],[0-2],[0-5],[0-4]
2764,female,european/caucasian-american,european/caucasian-american,qmss,0.0,1,[7-37],[6-10],[6-10],[21-100],[21-100],[21-100],[21-100],[0-15],[0-15],[9-10],[6-8],[9-10],[9-10],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[16-20],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[-1-0],[0-4],[0-3],[0-2],[6-8],[7-10]
2765,female,european/caucasian-american,latino/hispanic american,qmss,0.0,0,[4-6],[6-10],[6-10],[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[16-20],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[-1-0],[0-4],[0-3],[0-2],[6-8],[0-4]
2768,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[0-1],[6-10],[2-5],[16-20],[21-100],[16-20],[21-100],[0-15],[0-15],[9-10],[6-8],[9-10],[9-10],[9-10],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[7-10]
2769,female,european/caucasian-american,asian/pacific islander/asian-american,mathematics,0.0,0,[4-6],[6-10],[2-5],[0-15],[16-20],[21-100],[16-20],[0-15],[0-15],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[5-6]
2770,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[4-6],[6-10],[2-5],[0-15],[16-20],[16-20],[21-100],[0-15],[16-20],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
2771,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,1,[4-6],[6-10],[2-5],[21-100],[16-20],[21-100],[0-15],[0-15],[21-100],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
2772,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[2-3],[6-10],[2-5],[21-100],[0-15],[21-100],[0-15],[16-20],[21-100],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[-1-0],[0-4],[0-3],[3-5],[6-8],[5-6]
2773,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[4-6],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[16-20],[16-20],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[0-4]
2774,female,european/caucasian-american,other,mathematics,0.0,0,[2-3],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[0-5],[9-10],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[-1-0],[0-4],[0-3],[3-5],[0-5],[0-4]
2775,female,european/caucasian-american,asian/pacific islander/asian-american,mathematics,0.0,0,[4-6],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[0-4]
2776,female,european/caucasian-american,european/caucasian-american,mathematics,1.0,0,[4-6],[6-10],[2-5],[0-15],[16-20],[21-100],[16-20],[0-15],[21-100],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[0-5],[9-10],[9-10],[0-5],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[0-5],[0-4]
2777,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[4-6],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
2778,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[7-37],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[0-5],[9-10],[9-10],[0-5],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[0-4]
2779,female,european/caucasian-american,latino/hispanic american,mathematics,0.0,0,[4-6],[6-10],[2-5],[0-15],[0-15],[0-15],[0-15],[21-100],[21-100],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
2780,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[0-1],[6-10],[2-5],[21-100],[16-20],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[5-6]
2781,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[4-6],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[0-4]
2782,female,european/caucasian-american,asian/pacific islander/asian-american,mathematics,0.0,0,[2-3],[6-10],[2-5],[0-15],[16-20],[21-100],[0-15],[0-15],[16-20],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[0-5],[9-10],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[-1-0],[0-4],[0-3],[3-5],[0-5],[0-4]
2783,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[4-6],[6-10],[2-5],[21-100],[16-20],[21-100],[16-20],[0-15],[0-15],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[9-10],[9-10],[9-10],[6-8],[9-10],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[5-6]
2784,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[7-37],[6-10],[2-5],[21-100],[21-100],[21-100],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[0-5],[5-6]
2785,female,european/caucasian-american,latino/hispanic american,mathematics,0.0,0,[7-37],[6-10],[2-5],[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[0-4]
2786,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,0,[7-37],[6-10],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
