,has_null,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,decision_o,match
439,0,2,female,25,23,2,[2-3],european/caucasian-american,black/african american,0,9,7,[6-10],[6-10],mathematics,20,25,25,10,10,10,[16-20],[21-100],[21-100],[0-15],[0-15],[0-15],8,8,8,9,9,8,[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],20,23,23,22,7,5,[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],8,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],6,8,8,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],0.33,[0-0.33],7,8,10,[7-10],[4-9],[5-18],8,8,[6-8],[7-10],0,0,1,0
440,0,2,female,26,25,1,[0-1],european/caucasian-american,asian/pacific islander/asian-american,0,7,8,[6-10],[6-10],statistics,25,20,25,20,10,0,[21-100],[16-20],[21-100],[16-20],[0-15],[0-15],5,8,9,7,8,4,[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],2,5,2,3,1,3,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],-0.04,[-1-0],6,8,0,[5-6],[4-9],[0-2],2,5,[0-5],[5-6],0,0,0,0
443,0,2,female,26,24,2,[2-3],european/caucasian-american,european/caucasian-american,1,7,8,[6-10],[6-10],statistics,25,35,30,10,0,0,[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],6,5,5,4,5,4,[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],1,1,1,1,1,1,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.05,[0-0.33],6,8,0,[5-6],[4-9],[0-2],1,6,[0-5],[5-6],0,0,1,0
445,0,2,female,26,28,2,[2-3],european/caucasian-american,european/caucasian-american,1,7,8,[6-10],[6-10],statistics,25,15,25,15,0,20,[21-100],[0-15],[21-100],[0-15],[0-15],[16-20],7,7,8,7,7,7,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],2,2,5,2,8,4,[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],-0.06,[-1-0],6,8,0,[5-6],[4-9],[0-2],3,5,[0-5],[5-6],0,0,1,0
446,0,2,female,26,26,0,[0-1],european/caucasian-american,european/caucasian-american,1,7,8,[6-10],[6-10],statistics,20,35,20,10,10,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],6,7,8,6,9,7,[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],2,5,4,3,4,2,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.29,[0-0.33],6,8,0,[5-6],[4-9],[0-2],3,5,[0-5],[5-6],0,0,0,0
447,0,2,female,26,30,4,[4-6],european/caucasian-american,european/caucasian-american,1,7,8,[6-10],[6-10],statistics,20,20,25,25,5,5,[16-20],[16-20],[21-100],[21-100],[0-15],[0-15],6,6,6,5,8,4,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],1,3,5,1,2,1,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.16,[0-0.33],6,8,0,[5-6],[4-9],[0-2],1,6,[0-5],[5-6],1,0,1,0
448,0,2,female,26,22,4,[4-6],european/caucasian-american,european/caucasian-american,1,7,8,[6-10],[6-10],statistics,30,15,25,25,5,0,[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],6,8,7,7,9,4,[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],3,1,2,2,2,3,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.28,[0-0.33],6,8,0,[5-6],[4-9],[0-2],2,5,[0-5],[5-6],0,0,0,0
449,0,2,female,26,25,1,[0-1],european/caucasian-american,asian/pacific islander/asian-american,0,7,8,[6-10],[6-10],statistics,20,20,20,20,5,15,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8,8,7,7,10,5,[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],4,5,8,8,10,8,[0-5],[0-5],[6-8],[6-8],[9-10],[6-8],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0,[-1-0],6,8,0,[5-6],[4-9],[0-2],8,5,[6-8],[5-6],1,1,1,1
451,0,2,female,26,23,3,[2-3],european/caucasian-american,european/caucasian-american,1,7,8,[6-10],[6-10],statistics,25,10,35,15,0,15,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],5,6,8,5,5,2,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],5,2,6,2,5,4,[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],-0.47,[-1-0],6,8,0,[5-6],[4-9],[0-2],5,6,[0-5],[5-6],0,1,1,1
452,0,2,female,26,21,5,[4-6],european/caucasian-american,european/caucasian-american,1,7,8,[6-10],[6-10],statistics,15,20,15,30,5,15,[0-15],[16-20],[0-15],[21-100],[0-15],[0-15],6,6,6,7,5,5,[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],1,5,5,2,5,2,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],-0.15,[-1-0],6,8,0,[5-6],[4-9],[0-2],3,6,[0-5],[5-6],0,0,1,0
453,0,2,female,26,28,2,[2-3],european/caucasian-american,european/caucasian-american,1,7,8,[6-10],[6-10],statistics,40,15,20,10,5,10,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],7,8,8,7,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],9,8,8,5,6,7,[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.77,[0.33-1],6,8,0,[5-6],[4-9],[0-2],7,6,[6-8],[5-6],0,1,0,0
454,0,2,female,26,28,2,[2-3],european/caucasian-american,european/caucasian-american,1,7,8,[6-10],[6-10],statistics,40,20,20,20,0,0,[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],9,8,7,6,7,6,[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],3,4,6,4,5,2,[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.83,[0.33-1],6,8,0,[5-6],[4-9],[0-2],4,5,[0-5],[5-6],0,0,0,0
455,0,2,female,26,23,3,[2-3],european/caucasian-american,black/african american,0,7,8,[6-10],[6-10],statistics,20,25,25,10,10,10,[16-20],[21-100],[21-100],[0-15],[0-15],[0-15],6,9,9,8,9,7,[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],20,25,20,15,15,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,7,8,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],5,6,8,6,8,4,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],-0.12,[-1-0],6,8,0,[5-6],[4-9],[0-2],5,5,[0-5],[5-6],0,0,1,0
456,0,2,female,27,25,2,[2-3],european/caucasian-american,asian/pacific islander/asian-american,0,5,8,[2-5],[6-10],organizational psychology,25,20,25,20,10,0,[21-100],[16-20],[21-100],[16-20],[0-15],[0-15],4,6,8,7,6,3,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],2,4,5,4,4,3,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],0.13,[0-0.33],7,3,6,[7-10],[0-3],[5-18],3,6,[0-5],[5-6],0,0,0,0
459,0,2,female,27,24,3,[2-3],european/caucasian-american,european/caucasian-american,1,5,8,[2-5],[6-10],organizational psychology,25,35,30,10,0,0,[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],4,6,7,3,6,4,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],4,7,8,2,6,2,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],-0.02,[-1-0],7,3,6,[7-10],[0-3],[5-18],3,2,[0-5],[0-4],0,0,0,0
460,0,2,female,27,24,3,[2-3],european/caucasian-american,european/caucasian-american,1,5,8,[2-5],[6-10],organizational psychology,25,15,25,25,15,15,[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],5,5,6,5,7,5,[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],7,6,8,6,9,6,[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],0.31,[0-0.33],7,3,6,[7-10],[0-3],[5-18],7,7,[6-8],[7-10],0,1,1,1
461,0,2,female,27,28,1,[0-1],european/caucasian-american,european/caucasian-american,1,5,8,[2-5],[6-10],organizational psychology,25,15,25,15,0,20,[21-100],[0-15],[21-100],[0-15],[0-15],[16-20],6,7,6,6,5,6,[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],6,4,7,4,5,2,[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],-0.01,[-1-0],7,3,6,[7-10],[0-3],[5-18],4,3,[0-5],[0-4],0,0,1,0
462,0,2,female,27,26,1,[0-1],european/caucasian-american,european/caucasian-american,1,5,8,[2-5],[6-10],organizational psychology,20,35,20,10,10,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],6,8,9,8,9,7,[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],8,5,9,7,6,5,[6-8],[0-5],[9-10],[6-8],[6-8],[0-5],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],0.09,[0-0.33],7,3,6,[7-10],[0-3],[5-18],6,6,[6-8],[5-6],0,1,0,0
464,0,2,female,27,22,5,[4-6],european/caucasian-american,european/caucasian-american,1,5,8,[2-5],[6-10],organizational psychology,30,15,25,25,5,0,[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],3,6,6,5,4,4,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],8,5,6,9,4,6,[6-8],[0-5],[6-8],[9-10],[0-5],[6-8],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],0.57,[0.33-1],7,3,6,[7-10],[0-3],[5-18],7,6,[6-8],[5-6],0,1,0,0
465,0,2,female,27,25,2,[2-3],european/caucasian-american,asian/pacific islander/asian-american,0,5,8,[2-5],[6-10],organizational psychology,20,20,20,20,5,15,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],6,8,8,6,8,3,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],6,5,5,4,4,4,[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],-0.01,[-1-0],7,3,6,[7-10],[0-3],[5-18],3,3,[0-5],[0-4],0,0,0,0
467,0,2,female,27,23,4,[4-6],european/caucasian-american,european/caucasian-american,1,5,8,[2-5],[6-10],organizational psychology,25,10,35,15,0,15,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],2,9,9,3,7,7,[0-5],[9-10],[9-10],[0-5],[6-8],[6-8],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],7,4,7,7,6,8,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],-0.47,[-1-0],7,3,6,[7-10],[0-3],[5-18],6,2,[6-8],[0-4],1,1,0,0
468,0,2,female,27,21,6,[4-6],european/caucasian-american,european/caucasian-american,1,5,8,[2-5],[6-10],organizational psychology,15,20,15,30,5,15,[0-15],[16-20],[0-15],[21-100],[0-15],[0-15],5,7,6,7,6,5,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],2,6,6,6,4,5,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],-0.05,[-1-0],7,3,6,[7-10],[0-3],[5-18],5,5,[0-5],[5-6],0,1,1,1
469,0,2,female,27,28,1,[0-1],european/caucasian-american,european/caucasian-american,1,5,8,[2-5],[6-10],organizational psychology,40,15,20,10,5,10,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],7,8,8,7,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],7,7,7,4,7,4,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],0.46,[0.33-1],7,3,6,[7-10],[0-3],[5-18],6,4,[6-8],[0-4],0,1,0,0
470,0,2,female,27,28,1,[0-1],european/caucasian-american,european/caucasian-american,1,5,8,[2-5],[6-10],organizational psychology,40,20,20,20,0,0,[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],6,8,7,6,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],10,10,30,25,10,15,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,8,7,9,5,[6-8],[6-8],[6-8],[9-10],[0-5],4,3,4,2,3,3,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],0.68,[0.33-1],7,3,6,[7-10],[0-3],[5-18],3,3,[0-5],[0-4],0,0,0,0
472,0,2,female,23,25,2,[2-3],black/african american,asian/pacific islander/asian-american,0,8,1,[6-10],[0-1],law,25,20,25,20,10,0,[21-100],[16-20],[21-100],[16-20],[0-15],[0-15],8,9,10,9,10,7,[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],50,10,20,10,10,0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8,2,7,8,8,[6-8],[0-5],[6-8],[6-8],[6-8],2,8,10,3,10,3,[0-5],[6-8],[9-10],[0-5],[9-10],[0-5],7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,[6-8],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],-0.15,[-1-0],2,12,3,[0-4],[10-20],[3-5],5,1,[0-5],[0-4],0,0,0,0
475,0,2,female,23,24,1,[0-1],black/african american,european/caucasian-american,0,8,1,[6-10],[0-1],law,25,35,30,10,0,0,[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],4,6,7,6,7,2,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],50,10,20,10,10,0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8,2,7,8,8,[6-8],[0-5],[6-8],[6-8],[6-8],3,7,10,4,8,2,[0-5],[6-8],[9-10],[0-5],[6-8],[0-5],7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,[6-8],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],-0.61,[-1-0],2,12,3,[0-4],[10-20],[3-5],5,1,[0-5],[0-4],0,0,0,0
476,0,2,female,23,24,1,[0-1],black/african american,european/caucasian-american,0,8,1,[6-10],[0-1],law,25,15,25,25,15,15,[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],7,6,6,7,6,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],50,10,20,10,10,0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8,2,7,8,8,[6-8],[0-5],[6-8],[6-8],[6-8],5,10,7,4,5,7,[0-5],[9-10],[6-8],[0-5],[0-5],[6-8],7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,[6-8],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],-0.16,[-1-0],2,12,3,[0-4],[10-20],[3-5],5,1,[0-5],[0-4],0,0,1,0
477,0,2,female,23,28,5,[4-6],black/african american,european/caucasian-american,0,8,1,[6-10],[0-1],law,25,15,25,15,0,20,[21-100],[0-15],[21-100],[0-15],[0-15],[16-20],6,6,7,9,7,7,[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],50,10,20,10,10,0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8,2,7,8,8,[6-8],[0-5],[6-8],[6-8],[6-8],6,6,8,3,8,3,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,[6-8],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],-0.19,[-1-0],2,12,3,[0-4],[10-20],[3-5],4,1,[0-5],[0-4],0,0,1,0
478,0,2,female,23,26,3,[2-3],black/african american,european/caucasian-american,0,8,1,[6-10],[0-1],law,20,35,20,10,10,5,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],8,8,8,10,8,7,[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],50,10,20,10,10,0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8,2,7,8,8,[6-8],[0-5],[6-8],[6-8],[6-8],10,6,6,9,5,3,[9-10],[6-8],[6-8],[9-10],[0-5],[0-5],7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,[6-8],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],-0.32,[-1-0],2,12,3,[0-4],[10-20],[3-5],6,2,[6-8],[0-4],0,0,1,0
479,0,2,female,23,30,7,[7-37],black/african american,european/caucasian-american,0,8,1,[6-10],[0-1],law,20,20,25,25,5,5,[16-20],[16-20],[21-100],[21-100],[0-15],[0-15],6,7,7,6,6,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],50,10,20,10,10,0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8,2,7,8,8,[6-8],[0-5],[6-8],[6-8],[6-8],7,9,7,7,4,3,[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,[6-8],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],-0.14,[-1-0],2,12,3,[0-4],[10-20],[3-5],8,2,[6-8],[0-4],0,0,1,0
